repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,avg_comments_per_issue,commits_per_day,core_contributors,contribution_gini
facebook/react,100,237591,49003,1022,JavaScript,410,300,0.09433962264150944,1.1320754716981132,3.75,2,-0.1224885073441562
vuejs/vue,95,209184,33755,602,TypeScript,356,300,0.23529411764705882,1.3529411764705883,0.3436426116838488,1,-0.1233326070068401
angular/angular,85,98368,26451,1555,TypeScript,381,300,0.6111111111111112,1.2222222222222223,0.26737967914438504,0,-0.16085788692187575
nodejs/node,90,112343,32269,2307,JavaScript,427,300,0.6,1.3,1.6129032258064515,0,-0.20211970164043877
expressjs/express,85,67409,19696,193,JavaScript,306,300,0.4,1.9333333333333333,0.09765625,2,-0.07299468754106361
python/cpython,90,68021,32437,9197,Python,350,300,0.6176470588235294,2.4705882352941178,11.538461538461538,0,-0.17334294694667035
pallets/flask,95,70038,16506,14,Python,401,300,0.125,1.9375,0.4092769440654843,2,-0.12925855161723868
django/django,55,84350,32737,349,Python,392,300,0.0,0.0,0.45592705167173253,1,-0.1406840352320519
numpy/numpy,95,30001,11118,2316,Python,435,300,0.35714285714285715,4.571428571428571,4.225352112676056,1,-0.1387550243480826
pandas-dev/pandas,90,46100,18718,3748,Python,413,300,0.7837837837837838,2.3513513513513513,2.0,3,-0.14123927401646952
spring-projects/spring-boot,90,77869,41335,584,Java,357,300,0.2413793103448276,0.6091954022988506,14.285714285714286,3,-0.03674722221777685
elastic/elasticsearch,85,73326,25348,5308,Java,347,300,0.9130434782608695,1.9130434782608696,23.076923076923077,0,-0.215824142226367
apache/kafka,60,30558,14519,241,Java,347,300,0.0,0.0,5.357142857142857,0,-0.28934733953462766
torvalds/linux,35,198275,57071,485,C,0,300,0.0,0.0,4.545454545454546,0,0.0
microsoft/terminal,95,98997,8665,1670,C++,413,300,0.4576271186440678,2.2203389830508473,0.8875739644970414,3,-0.1302338758109046
golang/go,90,129076,18271,9440,Go,383,300,0.4482758620689655,2.7126436781609193,0.43541364296081275,1,-0.1750787107423757
kubernetes/kubernetes,85,116515,41016,2501,Go,346,300,0.8666666666666667,4.133333333333334,0.7177033492822966,1,-0.2975478080769509
moby/moby,85,70280,18786,3611,Go,398,300,0.5625,0.875,2.0408163265306123,1,-0.13194642784970428
tensorflow/tensorflow,95,190890,74769,1482,C++,410,300,0.3333333333333333,1.6666666666666667,37.5,1,-0.32612088889184904
pytorch/pytorch,75,91765,24770,16648,Python,320,300,0.9428571428571428,0.9142857142857143,20.0,0,-0.42508474946444036
scikit-learn/scikit-learn,100,62770,26086,2184,Python,410,300,0.20689655172413793,2.689655172413793,3.0303030303030303,1,-0.18722049421471304
microsoft/vscode,75,174969,33946,11959,TypeScript,328,300,0.8192771084337349,0.963855421686747,50.0,1,-0.08638158893033936
git/git,50,55749,26435,245,C,423,300,0.0,0.0,0.08097165991902834,1,-0.1501819301966504
Unknown,0,0,0,0,Unknown,0,0,0.0,0.0,0.0,0,0.0
flutter/flutter,95,171521,28896,12050,Dart,383,300,0.5531914893617021,1.702127659574468,15.789473684210526,2,-0.1511938589350238
facebook/react-native,90,123155,24768,1055,C++,308,300,0.6470588235294118,4.176470588235294,15.0,0,-0.2785106568117367
jupyter/notebook,95,12439,5310,1970,Jupyter Notebook,370,300,0.2777777777777778,3.0555555555555554,0.36764705882352944,4,-0.09275972843322268
plotly/plotly.js,85,17748,1915,727,JavaScript,238,300,0.8,1.5166666666666666,1.6304347826086956,3,-0.08520351287077833
octocat/Hello-World,55,3040,3275,1793,,3,3,0.8648648648648649,0.21621621621621623,0.007407407407407408,3,-1.5555555555555556
github/docs,100,17620,62542,66,TypeScript,431,300,0.26666666666666666,1.6,27.272727272727273,2,-0.11142239595619967
